Sprint Backlog (week 1)									
									
Product backlog Item	Sprint Task	Volunteer	Size Estimate	1	2	3	4	5	6
Creation and execution of a game server. The server can be a new one, configurable on IP and port, or it can be an already existing one. In the latter case, it will be extended with  proper functionalities.	Setup Akka env server side	RS	2	2	0				
	Creation server interface facade	SS	2	1	0				
	Creation of a new server	SS	1	1	0				
	Pimp an existing server	SS	1	8	8	8	8	4	0
	Create logic in order to set routes.	RS	5	4	3	2	1	0	
"Creation of a client; it should connect to the game server."	Setup Akka env client side	GG	1	2	0				
	Create client interface facade	GG	2	2	1	1	0		
	Creation of a client that can make requests to a server	GG	2	2	2	1	0		
Clients and server itself should create public rooms.	Setup server logic for creating rooms (server REST API, room storing)	RS	3	3	3	3	2	0	
	Setup client logic for creating rooms 	GG	1	1	2	1	5	0	
